ID,Inscription,Date,Date Strength,Inscription Type,Object Type,Altered,Visuals,Text Format,Sponsor Type,Honorand Type
65,Statue Base,-350,Approximate,Dedication,Base,,,Standard,,
66,Choregic Dedication,-350,Approximate,Dedication,Base,,,Standard,Private,
67,Decree of Hippothontis in honor of Metagenes Eukleidou Eroiades NOT FROM SANCTUARY OF DEMETER AND KORE,-350,Approximate,Decree,Stele,,,Standard,Other,
68,Decree of the Eleusinians,-350,Approximate,Decree,Stele,,,Stoichedon,Public Organ(s),
69,Decree of the Eleusinians(?),-350,Weak,Decree,Stele,,,Stoichedon,Public Organ(s),
70,"Decrees of the Eleusinians in Honor of Damasias and Phryniskos of Thebes, NOT FROM THE SANCTUARY OF DEMETER AND KORE",-350,Weak,Decree,Stele,,,Stoichedon,Public Organ(s),Foreign
71,Decree of the Eleusinians NOT FROM THE SANCTUARY OF DEMETER AND KORE,-350,Weak,Decree,Other/Fragment,,,Stoichedon,Public Organ(s),
72,Decree of the Eleusinians in Honor of the Hierophant Kierokleides Teisamenou Paianieus NOT FROM THE SANCTUARY OF DEMETER AND KORE,-350,Approximate,Decree,Stele,,,Stoichedon,Public Organ(s),Sacred Official
73,Dedicatory Relief,-325,Weak,Dedication,Relief,,Relief (Torch-Bearer in himation next to Kore),Standard,Private,
74,Decree of the Eleusinians,-325,Good,Decree,Stele,,"Relief (Triptolemus on chariot, Demeter, Kore, and an unidentified man)",Mix of Styles,Public Organ(s),
75,Statue Base Signed by Kephisodotos,-325,Weak,Dedication,Base,,,Standard,,
76,Dedication,-325,Good,Dedication,Relief,,,Standard,Private,
77,Dedicatory Base,-335,Good,Dedication,Base,,,Mix of Styles,,
78,Decree of the Athenians,-349,Good,Decree,Stele,,Relief (Bedraped Demeter seated on Pedestal),Standard,Public Organ(s),
79,Base for a Statue of Dionysus. NOT FROM SANCTUARY OF DEMETER,-340,Approximate,Dedication,Base,,,Standard,Private,Divinity
80,"Decree of Eleusinians in Honor of Smikythion of Kephale, Peripolarch",-337,Good,Decree,Stele,,"Relief(Kore  with torch clasping seated Demeter, with approaching worshiper)",Standard,Public Organ(s),Military
81,Dedication by Soldiers in Honor of the General Deinokrates Kleombrotou Acharneus and the Peripolarchoi,-338,Good,Dedication,Other/Fragment,,,Standard,Military,Military
82,Dedication(?) By Ephebes of Oineis,-335,Good,Dedication,Base,,,Standard,Military,
83,Dedication by Lysimachides to Theos and Thea,-327,Good,Dedication,Relief,,"Relief(2 dining tables, Theos holding rhyton and bowl with Thea seated holding ribbon on the right. On the left, Kore with torch crowning seated Demeter leaning a scepter. Winebearer next to krater on the left)",Standard,Private,Divinity
84a,Dedication by Ephebes of Hippothontis,-334,Good,Dedication,Base,,,Standard,Military,Divinity
84b,Decree of the Eleusinians in Honor of Ephebes of Hippothontis,-333,Good,Decree,Base,,,Stoichedon,Public Organ(s),Military
85a,Decree of Eleusinians in Honor of Philokomos Phalanthidou Eleusinios and Moirokles Euthydemou Eleusinios NOT FROM THE SANCTUARY OF DEMETER AND KORE,-332,Good,Decree,Stele,,Relief(Crown surrounded two-hanled lebes on stand),Stoichedon,Public Organ(s),
85b,Decree of Eleusinians Concerning Leasing the Quarries of Heracles NOT FROM THE SANCTUARY OF DEMETER AND KORe,-332,Good,Decree,Stele,,Relief(Crown surrounded two-hanled lebes on stand),Stoichedon,Public Organ(s),
86,Dedication by the Ephebes and Sophronistes of Kekpros of 333/2 at Eleusis,-332,Good,Dedication,Base,,,Standard,Military,
87,Decree of the Genos of the Kerykes in Honor of Xenokles Xeinidos Sphettios. NOT FROM THE SANCTUARY OF DEMETER AND KORE,-330,Good,Decree,Stele,,,Stoichedon,Genos,
88,Statue Base for Eubouleus,-325,Good,Dedication,Base,,,Standard,Private,Divinity
89,Dedication by Ephebes(?) of Hippothontis,-325,Approximate,Dedication,Base,,,Standard,Military,Divinity
90,Base for a Basin-Bearer,-320,Good,Dedication,Base,,,Standard,Public Organ(s),Divinity
91,Base for a Basin-Bearer,-320,Good,Dedication,Base,,,Standard,Public Organ(s),Divinity
92,"Dedication by Soldiers Honoring their General, Thrasyboulos Thrasonos Erchieus",-325,Good,Dedication,Base,,,Standard,Military,Military
93,"Decree of the Genos of the Eumolpidai, Honoring Neoptolemos Antikleous Meliteus",-325,Good,Decree,Stele,,,Stoichedon,Genos,Sacred Official
94,Dedication by the General Charias Euthykratou [Kydathenaieus],-312,Good,Dedication,Base,,,Standard,Private,
95,Decree of the Eleusinians and Athenian Soldiers in Honor of Xenokles,-321,Good,Decree,Stele,,,Stoichedon,Military,Sacred Official
96,Honorary Decree of the Eleusinians,-321,Good,Decree,Stele,,,Stoichedon,Public Organ(s),
97,Statue base Dedicated by Xenokles Xeinidos Sphettios,-321,Good,Dedication,Base,,,Mix of Styles,Private,Divinity
98,Statue Base Dedicated by Xenokles Xeinidos,-321,Good,Dedication,Base,,,Mix of Styles,Private,Divinity
99,Decree of the Eleusinians in Honor of the General Derkyos Autokleous Hagnousios,-319,Good,Decree,Stele,,Relief(Man approaching seated Demeter and Kore standing holding torches),Stoichedon,Public Organ(s),Military
100,"Decree of the Kerykes in Honor of Euthydemos, Paredros of the Basileus",-320,Good,Decree,Stele,,,Stoichedon,Genos,Official
101,Decree of the Eleusinians and Athenians in Honor of Euthydemos Koirokleous Eleusinios,-320,Good,Decree,Stele,,,Standard,Public Organ(s),Official
102,Dedication by a General in Honor of the Demarch Euthydemos,-300,Approximate,Dedication,Base,,,Standard,Private,Official
103,Dedication by Demonike daughter of Aischraios Pitheus to Dionysus,-320,Weak,Dedication,Base,,,Standard,Private,Divinity
104,Decree,-320,Weak,Decree,Stele,,,Standard,,
105,Cure Dedication by Eukrates,-350,Poor,Dedication,Other/Fragment,,,Standard,Private,Divinity
106,Marble Container,-350,Poor,Other/Fragment,Other/Fragment,,,Standard,,Divinity
107,Coregic Dedication by Hieron,-350,Poor,Dedication,Base,,,Standard,Private,
108,Dedication by Hedyle,-350,Poor,Dedication,Base,,,Standard,Private,
109,Dedication by Pantenor,-350,Poor,Dedication,Relief,,,Standard,Private,
110,Dedication,-350,Poor,Dedication,Other/Fragment,,,Standard,Private,
111,Dedication,-350,Poor,Dedication,Other/Fragment,,,Standard,,
112,Dedication,-350,Poor,Dedication,Relief,,,Standard,Private,
113,Statue Base,-350,Poor,Dedication,Base,,,Standard,,Other/Private
114,Dedication,-350,Poor,Dedication,Base,,,Standard,,
115,Dedication?,-350,Poor,Dedication,Base,,,Standard,,
116,Dedication,-350,Poor,Dedication,Base,,,Standard,,
117,Dedication,-350,Poor,Dedication,Base,,,Standard,,
118,Decree,-350,Unusable Dating,Decree,Other/Fragment,,,Standard,,
119,Statue Base,-300,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
120,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,Private,Divinity
121,Dedictory Plemochoe,-300,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,Private,Divinity
122,Decree of Hippothontis,-300,Unusable Dating,Decree,Stele,,,Standard,Other,
123,Decree,-300,Unusable Dating,Decree,Stele,,,Standard,,
124,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
125,Dedication,-300,Unusable Dating,Dedication,Relief,,,Standard,,
126,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,Private,Divinity
127,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
128,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
129,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
130,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
131,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),Divinity
132,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
133,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
134,Dedication,-300,Unusable Dating,Dedication,Base,,,Standard,,
135,Decree,-300,Weak,Decree,Stele,,,Standard,Public Organ(s),
136,Inventory of Ropes,-390,Approximate,Financial,Stele,,,Standard,Other,
137,Account/Inventory,-365,Approximate,Financial,Stele,,,Standard,,
138,Law Concerning the Mysteries. Eleusinion Copy,-358,Good,Edict/Regulation,Stele,,,Standard,,
139,Account of Sales?,-358,Good,Financial,Stele,,,Standard,Other,
140,Inventory of Dining Equipment,-357,Good,Financial,Stele,,,Standard,Other,
141,Contract for the Stoa by the South Wall of the Sanctuary,-354,Good,Financial,Stele,,,Standard,,
142,Decree of the Nomothetai Amending the Law of Chairemonides Concerning the APA__. NOT FROM ELEUSIS,-353,Good,Decree,Stele,,,Standard,Other,
143,Specifications for Construction,-353,Good,Financial,Stele,,,Standard,,
144,Decree of the Athenians Concerning the Sacred Orgas,-352,Good,Decree,Stele,,,Standard,,
145,Document Relating to Contract,-351,Good,Financial,Stele,,,Standard,,
146,Specifications of Contract. From Eleusis,-350,Approximate,Financial,Stele,,,Standard,,
147,Account of Epistatai,-325,Weak,Financial,Stele,,,Standard,Other,
148,Account of Epistatai?,-325,Weak,Financial,Stele,,,Standard,Other,
149,Inventory of the Epistatai of Eleusis,-335,Good,Financial,Stele,,,Standard,Other,
150,Account,-332,Approximate,Financial,Stele,,,Standard,,
151,Contract for the Foundations of the Prostoon of the Telestrion,-342,Good,Financial,Stele,,,Standard,,
152,Contract for the Clamps and Dowels and the Finishing of the Krepis of the Telestrion at Eleusis,-341,Good,Financial,Stele,,,Standard,,
153,Building Contract,-341,Good,Financial,Stele,,,Standard,,
154,Architectural Specifications,-340,Good,Other/Fragment,Stele,,,Standard,,
155,Account,-337,Good,Financial,Stele,,,Standard,,
156,Inventory of the Epistatai at Eleusis,-337,Good,Financial,Stele,,,Standard,Other,
157,Contract for the Poloi and Empolia of the Columns of the Prostoon of the Telestrion,-336,Good,Financial,Stele,,,Standard,,
158,Inventory of the Epistatai at Eleusis,-332,Good,Financial,Stele,,,Standard,Other,
159,Account of the Epistatai at Eleusis,-336,Good,Financial,Stele,,,Standard,Other,
160,Inventory of the Epistatai at Eleusis,-330,Good,Financial,Stele,,,Standard,Other,
161,Inventory of the Epistatai at Eleusis,-330,Good,Financial,Stele,,,Standard,Other,
162,Inventory of the Epistatai at Eleusis,-330,Good,Financial,Stele,,,Standard,Other,
163,Document of the Epistatai at Eleusis,-330,Good,Other/Fragment,Stele,,,Standard,Other,
164,Contract,-330,Good,Financial,Stele,,,Standard,,
165,"Contract for the Transport of Fourteen Column Capitals for the Prostoon of the Telestrion, from Mt. Pentelikon to Eleusis",-320,Approximate,Financial,Stele,,,Standard,,
166,Specifications for Finishingi Fourteen Capitals of the Prostoon of the Telestrion,-320,Good,Other/Fragment,Stele,,,Standard,,
167,Inventory of the Delian Amphictyones,-333,Good,Financial,Stele,,,Standard,Roman/Imperial/Panhellenic,
168,Inventory or Account of the Epistatai at Eleusis,-325,Good,Financial,Stele,,,Standard,Other,
169,Account of the Epistatai at Eleusis,-325,Good,Financial,Stele,,,Standard,Other,
170,Account,-325,Good,Financial,Stele,,,Standard,,
171,Inventory,-325,Good,Financial,Stele,,,Standard,,
172,Account of Epistatai at Eleusis,-325,Good,Financial,Stele,,,Standard,Other,
173,Account of Epistatai at Eleusis,-325,Good,Financial,Stele,,,Standard,Other,
174,Specifications for Repair of Gates of Fortification Wall of Eleusis,-330,Good,Other/Fragment,Stele,,,Standard,,
175,Sacred Law,-330,Good,Edict/Regulation,Stele,,,Standard,,
176,Lease,-330,Good,Financial,Stele,,,Standard,Public Organ(s),
177,Account of the Epistatai at Eleusis and the Treasurers of the Two Goddesses,-329,Good,Financial,Stele,,,Standard,Other,
178,Inventory of the Epistatai at Eleusis,-322,Good,Financial,Stele,,,Standard,Other,
179,Measuring Table,-300,Unusable Dating,Other/Fragment,Base,,,Standard,,
180,Honorary Decree of Soldiers Stationed at Eleusis,-273,Good,Decree,Stele,,,Standard,Military,
181,Decree of the Athenians in Honor of Epimeletai of the Mysteries. Eleusinion or Acropolis Copy,-267,Good,Decree,Stele,,,Standard,Public Organ(s),Sacred Official
182,"Decree of Athenian Soldiers Stationed at Eleusis in Honor of Dionysios, Scribe",-267,Good,Decree,Stele,,,Standard,Military,Official
183,Decree of Soldiers Stationed at Eleusis,-254,Good,Decree,Stele,,,Standard,Military,
184,"Decree of Athenian Soldiers Stationed at eleusis in Honor of Soskrates, ______ _",-258,Good,Decree,Stele,,,Standard,Military,Military
185,Decree Honoring Philokomos of Eleusis,-245,Good,Decree,Stele,,,Standard,Public Organ(s),
186,Dedication in Honor of a General,-255,Good,Dedication,Base,,,Standard,Public Organ(s),Military
187,Decree of Foreign Soldiers Stationed at Eleusis,-253,Good,Decree,Stele,,,Standard,Military,Military
188,Decree of the Athenians Concerning an Architect,-251,Good,Decree,Stele,,,Standard,Public Organ(s),
189,Decree of the Eleusinians,-250,Weak,Decree,Stele,,,Standard,Public Organ(s),
190,Dedication by Soldiers? Stationed at Eleusis,-250,Weak,Dedication,Other/Fragment,,,Standard,Military,
191,Decree of the Eleusinians and Athenians Residing in Eleusis in Honor of (a General?),-250,Approximate,Decree,Stele,,,Standard,Public Organ(s),
192,Decree of the Athenians Honoring Epimeletai of the Mysteries,-249,Good,Decree,Stele,,,Standard,Public Organ(s),Sacred Official
193,Decree of the Eleusinians and the Athenian Soldiers Stationed at Eleusis in Honor of King Antigonus,-243,Good,Decree,Stele,,,Standard,Public Organ(s),Foreign
194,"Decree of Athenian Soldiers Stationed at Eleusis in Honor of their General, Demetrios (Phanostratou Phalereus)",-245,Good,Decree,Other/Fragment,,,Standard,Military,Military
195,Dedication of Athenian Soldiers in Honor of the General Demetrios Phanostratos Phalereus,-240,Good,Dedication,Base,,,Standard,Military,Military
196a,Decree of Athenian Soldiers and Foreign mercenaries at Eleusis in Honor of the General Aristophanes,-234,Good,Decree,Stele,,,Standard,Military,Military
196b,Decree of Eleusinians in Honor of the General Aristophanes,-234,Good,Decree,Stele,,,Standard,Public Organ(s),Military
197,"Decree of the Athenian Soldiers Stationed at Eleusis, Panakton, and Phyle, and Athenians Residing at Eleusis in Honor of Thrasykles",-215,Good,Decree,Stele,,,Standard,Military,Military
198,"Decree of the Athenian Soldiers Stationed at Eleusis, Panakton, and Phyle, and the ________",-215,Good,Decree,Stele,,,Standard,Military,
199,Decree of the Athenians,-215,Good,Decree,Stele,,,Standard,Public Organ(s),
200,Decree of the Hypaithroi,-224,Good,Decree,Stele,,,Standard,Military,Military
201,"Decree of Kerykes and Eumolpidai in Honor of Chairetios Prophetou Eleusinios, Hierophant",-225,Good,Decree,Stele,,,Standard,Genos,Sacred Official
202,Decree of the Athenians in Honor of Epimeletai of the Mysteries. Eleusinion or Acropolis Copy,-222,Good,Decree,Stele,,,Standard,Public Organ(s),Sacred Official
203,Decree of Athenian Soldiers?,-222,Good,Decree,Stele,,,Standard,Military,
204,Decree of Athenian Soldiers Stationed at Eleusis?,-205,Weak,Decree,Stele,,,Standard,Military,
205,Decree of Athenian Soldiers Stationed at Eleusis,-205,Weak,Decree,Stele,,,Standard,Military,
206,Decree of the Athenians,-220,Good,Decree,Stele,,,Standard,Public Organ(s),
207,"Decree of the Athenian Soldiers Stationed at Eleusis, Panakton, and Phyle in Honor of their General, Theophrastos",-216,Good,Decree,Stele,,,Standard,Military,Military
208,Decree of the Athenians in Honor of Epimeletai of the Mysteries,-214,Good,Decree,Stele,,,Standard,Public Organ(s),Sacred Official
209,Decree or Dedication in Honor of Niketes Neketou Pergasethen,-215,Good,Other/Fragment,Other/Fragment,,,Standard,Public Organ(s),Other/Private
210,"Dedication of Soldiers Stationed at Eleusis in Honor of their General, Ekphantos Euphanou Thriasios",-210,Good,Dedication,Base,,,Standard,Military,Military
211,"Decree of Athenian Soldiers and ________ in honor of their General, Demainetos Hermokleous Athmoneus",-209,Good,Decree,Stele,,,Standard,Military,Military
212,Dedication Signed by Baton of Heracleia,-220,Weak,Dedication,Base,,,Standard,,Divinity
213,Dedication,-220,Weak,Dedication,Base,,,Standard,,
214,Dedication by Athenian Soldiers Stationed at Eleusis,-220,Weak,Dedication,Base,,,Standard,Military,
215,Dedication,-350,Unusable Dating,Dedication,Other/Fragment,,,Standard,,Divinity
216,Statue Base?,-350,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,Public Organ(s),Sacred Official
217,Honorary Base Dedicated by Soldiers Stationed at Eleusis?,-350,Unusable Dating,Dedication,Base,,,Standard,Military,
218,Base,-350,Unusable Dating,Dedication,Base,,,Standard,Private,
219,Dedication,-350,Unusable Dating,Dedication,Base,,,Standard,,
219b,Crown,-350,Unusable Dating,Other/Fragment,Stele,,,Standard,,
220,Decree,-175,Weak,Decree,Stele,,,Standard,Public Organ(s),
221,Decree of Eumolpidai and Kerykes in Honor of Philonides of Laodicaea and His Sons. NOT FROM ELEUSIS,-180,Good,Decree,Stele,,,Standard,Genos,
222,Dedication,-155,Good,Dedication,Base,,,Standard,Private,
223,Statue Base,-170,Good,Dedication,Base,,,Standard,Private,Divinity
224,List of Donors,-165,Good,Other/Fragment,Base,,,Standard,,
225,"Dedication? In Honor of Noumenios Halaieus, Epimelete of the Procession at the Dionysia",-165,Good,Other/Fragment,Base,,,Standard,,Sacred Official
226,Dedication in Honor of an Epimelete of the Mysteria,-153,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
227,List of Victors in the Eleusina,-162,Good,Other/Fragment,Base,,,Standard,,
228,List of Victors in the Eleusina,-162,Good,Other/Fragment,Base,,,Standard,,
229,"Decrees of the Athenians and Eleusinians in Honor of Pamphilos Archontos Eleusinios, Demarch",-165,Good,Decree,Stele,,,Standard,Public Organ(s),Official
230,Decree in Honor of [-]medes Demetriou Hamaxanteus,-150,Approximate,Decree,Other/Fragment,,,Standard,,
231,Dedication Signed by Eucheir and Euboulides Kropidai,-150,Approximate,Dedication,Base,,,Standard,,
232,Dedication signed by Euboulides Eucheriros Kropides,-120,Good,Dedication,Base,,,Standard,,
233,"Decree (Of the Eumolpida?i) Honoring Aristokles of Perithoidai, Hierophant. NOT FROM ELEUSIS",-149,Good,Decree,Stele,,,Standard,Genos,Sacred Official
234,"Decree (Of the Eumolpidai?) Honoring Aris[tokles of Perithoidai], Hierophant. NOT FROM ELEUSIS",-149,Good,Decree,Stele,,,Standard,Genos,Sacred Official
235,"Dedication? Of Amynomachos Eukleous Halaieus, Hierophant",-140,Good,Other/Fragment,Base,,,Standard,Private,
236,Dedication in Honor of a Hierophant,-140,Good,Dedication,Base,,,Standard,Genos,Sacred Official
237,Decree Concerning Measures and Weights. Acropolis Copy,-120,Good,Decree,Stele,,,Standard,,
238,"Statue Base for Lysias Artemonos Paianieus, Hearth Initiate",-112,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
239,Relief Dedicated by [Lakrateides Sostratou Ikar]ieus,-112,Good,Dedication,Relief,,,Standard,Private,
240,Inventory,-100,Good,Financial,Other/Fragment,,,Standard,,
241,"Statue Base for Apollonios Agenoros Erikeeus, Exegete of the Eumolpidai",-120,Approximate,Dedication,Base,,,Standard,Private,Sacred Official
242,Statue Base for Menekleides Theophemou Kydathenaieus,-120,Approximate,Dedication,Base,,,Standard,Private,Sacred Official
243,"Dedication by Glauke, Daughter of Menedemos Kydathenaieus, Priestess of Demeter and Kore",-120,Approximate,Dedication,Base,,,Standard,Private,
244,"Statue Base for Philistion, Daughter of Dionysios Haleius, Hearth-Inititiate",-100,Weak,Dedication,Base,,,Standard,Private,Hearth-Initiate
245,Statue Base for a Hearth Initiate,-150,Weak,Dedication,Base,,,Standard,,Hearth-Initiate
246,Statue Base for (?) Hierophant or Hierophantis,-150,Unusable Dating,Dedication,Base,,,Standard,,
247,Dedication,-150,Unusable Dating,Dedication,Base,,,Standard,,
248,Statue Base?,-120,Approximate,Other/Fragment,Other/Fragment,,,Standard,,Sacred Official
249,Decree?,-150,Weak,Other/Fragment,Other/Fragment,,,Standard,,
250,Decree Concerning the Mysteries. NOT FROM ELEUSIS,-100,Unusable Dating,Decree,Stele,,,Standard,,
251,"Statue Base for Daughter of [- Pyth]onaktos Azenieus, Heath-Initiate",-100,Unusable Dating,Dedication,Base,,,Standard,Private,Hearth-Initiate
252,"Statue Base for Heliko, Heath-Initiate",-100,Unusable Dating,Dedication,Base,,,Standard,Private,Hearth-Initiate
253,Statue Base for a Hearth-Initiate,-100,Unusable Dating,Dedication,Base,,,Standard,,Hearth-Initiate
254,Statue Base,-100,Unusable Dating,Dedication,Base,,,Standard,,
255,Dedicatory Base,-100,Unusable Dating,Dedication,Base,,,Standard,,
256,Statue Base,-100,Unusable Dating,Dedication,Base,,,Standard,,
257,Statue Base,-100,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
258,Statue Base?,-100,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
259,Statue Base?,-100,Unusable Dating,Dedication,Base,,,Standard,,
260,Statue Base?,-100,Unusable Dating,Dedication,Base,,,Standard,,
261,Statue Base,-100,Unusable Dating,Dedication,Base,,,Standard,,
262,Statue Base Dedicated by a Priestess and (?) Menedem[os],1,Unusable Dating,Dedication,Base,,,Standard,Private,
263,Statue Base,1,Unusable Dating,Dedication,Base,,,Standard,,
264,Statue Base,1,Unusable Dating,Dedication,Base,,,Standard,Private,
265,Statue Base?,1,Unusable Dating,Dedication,Base,,,Standard,,
266,"Statue Base for Glauke, Daughter of Menedemos of Kydathenaion",-100,Good,Dedication,Base,,,Standard,Private,Sacred Official
267,SB for a Kanephoros,-90,Approximate,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
268,"SB for Ameinokleia Philanthou Phylasiou, Priestess of D&K",-90,Approximate,Dedication,Base,,,Standard,Private,Sacred Official
269,SB for an HI,-90,Poor,Dedication,Base,,,Standard,Private,Hearth-Initiate
270,"SB for Epiphaneia Athenagorou Meliteus,HI",-85,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
271,Decree of Dionysiac Artists in Honor of the Epimelite Philemon,-75,Good,Decree,Stele,,,Standard,Other,Sacred Official
272,SB Group for Ariobarzanes Family,-70,Good,Dedication,Base,,,Standard,Private,Foreign
273,SB for Timothea Medeiou Medeiou,-70,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
